name,smiles,QED,caco2,hia,f20,f30,f50,PPB,BSEP,hERG,hERG-10um,DILI,Ames,Carcinogenicity,Respiratory,H-HT,Neurotoxicity-DI,Hematotoxicity,Nephrotoxicity-DI,Genotoxicity,NR-AR,NR-AR-LBD,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,NR-AhR,SR-p53,logS,logP,logD,MW,TPSA,Lipinski,alkylated,composite_tox
1-Androstenediol,C[C@]12C=C[C@H](O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12,0.67,-0.4843032539505989,0.11782824993133544,0.8118376135826111,0.801976203918457,0.9086420685052872,0.6859723056719125,0.9438576102256776,0.1114509254693985,0.4537164270877838,0.1778024435043335,0.4057166874408722,0.9220219254493712,0.9328647255897522,0.5264122486114502,0.1777433604001999,0.19895312190055847,0.4271124303340912,0.529545783996582,0.9867069125175476,0.9890503883361816,0.19165630638599396,0.9954710006713868,0.991868257522583,0.8912057615816593,0.6775470450520515,0.508364737033844,-4.366122797174333,3.905766205430363,3.9399898128643103,290.22,40.46,0,False,0.3863065474563175
1-Androstenedione,C[C@]12C=CC(=O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,0.676,-0.4681632507251491,0.5552172660827637,0.15354490280151367,0.5901660919189453,0.7793362587690353,0.8628094978738575,0.9997454285621644,0.1124073714017868,0.47883549332618713,0.3479958176612854,0.4587349593639374,0.9412492513656616,0.8735928535461426,0.6625953316688538,0.6398376226425171,0.2267418801784515,0.4466629028320313,0.8130996227264404,0.992830216884613,0.9984453320503236,0.2866970896720886,0.9987844824790956,0.9886547327041626,0.8710169233381748,0.8009114302694798,0.2635710537433624,-3.8924636778418904,3.016517808323863,3.225100055545539,286.19,34.14,0,False,0.5165916399823295
1-Androsterone,C[C@]12C=C[C@@H](O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,0.69,-0.4598847697511415,0.12398958206176758,0.2618193030357361,0.7732689082622528,0.8448894917964935,0.6150572073324494,0.9991629123687744,0.7699082046747208,0.4197165668010712,0.4524555802345276,0.3287919759750366,0.8575067520141602,0.928354263305664,0.6642510890960693,0.3993450999259949,0.2847216725349426,0.5657944679260254,0.626237154006958,0.9889666438102722,0.9880671501159668,0.1935785710811615,0.9945539236068726,0.9782673120498656,0.8244335651397705,0.10603799484670162,0.12717849016189575,-3.905563985086406,3.3692342039644028,3.4444816458806073,288.21,37.3,0,False,0.5498902218209373
1-Epiandrosterone,C[C@]12C=C[C@@H](O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,0.69,-0.4598847697511415,0.12398958206176758,0.2618193030357361,0.7732689082622528,0.8448894917964935,0.6150572073324494,0.9991629123687744,0.7699082046747208,0.4197165668010712,0.4524555802345276,0.3287919759750366,0.8575067520141602,0.928354263305664,0.6642510890960693,0.3993450999259949,0.2847216725349426,0.5657944679260254,0.626237154006958,0.9889666438102722,0.9880671501159668,0.1935785710811615,0.9945539236068726,0.9782673120498656,0.8244335651397705,0.10603799484670162,0.12717849016189575,-3.905563985086406,3.3692342039644028,3.4444816458806073,288.21,37.3,0,False,0.5498902218209373
1-Testosterone,C[C@]12C=CC(=O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12,0.737,-0.47494937895207,0.3308534622192383,0.8761217817664146,0.8277196735143661,0.9194341376423836,0.8701122224280824,0.9835928678512572,0.92154361307621,0.40578967332839966,0.15277442336082458,0.3744795620441437,0.9591686725616456,0.8720667362213135,0.5856945514678955,0.21122805774211884,0.1013406068086624,0.3967994153499603,0.6208938360214233,0.9949533343315125,0.9974910020828248,0.19477413594722748,0.9981104135513306,0.9914492964744568,0.5782102234661579,0.4905145149677992,0.4881400167942047,-4.158136172962776,3.6443851178593754,3.646693524136759,288.21,37.3,0,False,0.480435859825876
4-Androstenediol,C[C@]12CC[C@H]3[C@@H](CCC4=C[C@@H](O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,0.668,-0.4538368799331443,0.1335620880126953,0.980774886906147,0.9699524343013765,0.9984549345681444,0.7312108752878379,0.9596006274223328,0.15308240056037903,0.5028061866760254,0.15160487592220306,0.4159020483493805,0.9579251408576964,0.9724136590957642,0.7764715552330017,0.11555366218090056,0.3172414004802704,0.4872671365737915,0.14958298206329346,0.9954635500907898,0.9986860156059264,0.23179671168327332,0.9990743398666382,0.9990456700325012,0.6331798154860735,0.22566800471395257,0.7190682291984558,-4.688721751623814,4.368444787179131,4.092963207999265,290.22,40.46,0,False,0.39162568913565743
4-Hydroxytestosterone,C[C@]12CC[C@H]3[C@@H](CCC4=C(O)C(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,0.716,-0.4512125010579856,0.24890780448913577,0.9709309469908476,0.9644778445363044,0.99849907157477,0.7619952472569334,0.7421067357063293,0.6079478189349174,0.2162553071975708,0.30713653564453125,0.2531159520149231,0.9451509714126588,0.8729931116104126,0.7467855215072632,0.15316897630691528,0.4391788542270661,0.539254367351532,0.30329370498657227,0.9977533221244812,0.9992648959159852,0.32454708218574524,0.999603807926178,0.99858558177948,0.20192041993141177,0.1283699064515531,0.8845033049583435,-4.305473783315736,3.1808286924666183,3.2589176291700075,304.2,57.53,0,False,0.4772258558207088
5-Androstenedione,C[C@]12CCC(=O)CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,0.629,-0.4422627654696148,0.6021261215209961,0.2027273178100586,0.22415590286254883,0.6372731029987335,0.9087316655543076,0.9998512268066406,0.13054151833057404,0.48124006390571594,0.3264882266521454,0.39926567673683167,0.8786972165107727,0.6876224279403687,0.5691105127334595,0.6571015119552612,0.5234524607658386,0.2770759165287018,0.8569247722625732,0.9770436882972716,0.9750922918319702,0.4626862406730652,0.9927237629890442,0.9601836800575256,0.5487916618585587,0.4946832358837128,0.20548854768276217,-3.4781335555773674,2.6784509408684496,2.7923695273706475,286.19,34.14,0,False,0.5131842013862398
7α-Hydroxy-DHEA,C[C@]12CC[C@H](O)CC1=C[C@@H](O)[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,0.677,-0.47365174886569905,0.29522180557250977,0.4112743735313415,0.7864924073219299,0.985592808574438,0.6623460404496142,0.99755597114563,0.12953133881092072,0.37484923005104065,0.4062161147594452,0.6445625424385071,0.6940276026725769,0.6870829463005066,0.5721956491470337,0.3874972462654114,0.3856334686279297,0.5821311473846436,0.7978411316871643,0.8662460446357727,0.7829151153564453,0.7770392298698425,0.9595699906349182,0.8258215188980103,0.128333181142807,0.18959881737828255,0.44686487317085266,-3.5986751126364704,1.709566898802148,2.1216518159897846,304.2,57.53,0,False,0.5110706935326258
7β-Hydroxy-DHEA,C[C@]12CC[C@H](O)CC1=C[C@@H](O)[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,0.677,-0.47365174886569905,0.29522180557250977,0.4112743735313415,0.7864924073219299,0.985592808574438,0.6623460404496142,0.99755597114563,0.12953133881092072,0.37484923005104065,0.4062161147594452,0.6445625424385071,0.6940276026725769,0.6870829463005066,0.5721956491470337,0.3874972462654114,0.3856334686279297,0.5821311473846436,0.7978411316871643,0.8662460446357727,0.7829151153564453,0.7770392298698425,0.9595699906349182,0.8258215188980103,0.128333181142807,0.18959881737828255,0.44686487317085266,-3.5986751126364704,1.709566898802148,2.1216518159897846,304.2,57.53,0,False,0.5110706935326258
