name,smiles,QED,caco2,hia,f20,f30,f50,PPB,BSEP,hERG,hERG-10um,DILI,Ames,Carcinogenicity,Respiratory,H-HT,Neurotoxicity-DI,Hematotoxicity,Nephrotoxicity-DI,Genotoxicity,NR-AR,NR-AR-LBD,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,NR-AhR,SR-p53,logS,logP,logD,MW,TPSA,Lipinski,alkylated,composite_tox,pgp_inh,pgp_sub,OATP1B1,OATP1B3,BBB,CYP3A4-sub,CYP3A4-inh,t0.5,cl-plasma,Fu_pct
1-Androstenediol,C[C@]12C=C[C@H](O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12,0.67,-4.843032539505989,0.1178282499313354,0.8118376135826111,0.801976203918457,0.9086420685052872,0.6859723056719125,0.9438576102256776,0.1114509254693985,0.4537164270877838,0.1778024435043335,0.4057166874408722,0.9220219254493712,0.9328647255897522,0.5264122486114502,0.1777433604001999,0.1989531219005584,0.4271124303340912,0.529545783996582,0.9867069125175476,0.9890503883361816,0.1916563063859939,0.9954710006713868,0.991868257522583,0.8912057615816593,0.6775470450520515,0.508364737033844,-4.366122797174333,3.905766205430363,3.9399898128643103,290.22,40.46,0,False,0.3863065474563175,0.3008969724178314,0.5311649441719055,0.9526578783988952,0.721706748008728,0.7182019352912903,0.6824659556150436,0.5525243934243917,2.186250771952517,1.6575064794394223,29.19328363479576
1-Androstenedione,C[C@]12C=CC(=O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,0.676,-4.681632507251491,0.5552172660827637,0.1535449028015136,0.5901660919189453,0.7793362587690353,0.8628094978738575,0.9997454285621644,0.1124073714017868,0.4788354933261871,0.3479958176612854,0.4587349593639374,0.9412492513656616,0.8735928535461426,0.6625953316688538,0.6398376226425171,0.2267418801784515,0.4466629028320313,0.8130996227264404,0.992830216884613,0.9984453320503236,0.2866970896720886,0.9987844824790956,0.9886547327041626,0.8710169233381748,0.8009114302694798,0.2635710537433624,-3.8924636778418895,3.016517808323863,3.225100055545539,286.19,34.14,0,False,0.5165916399823295,0.9957411289215088,0.11669524246826768,0.9957064986228944,0.9992846846580504,0.17590194940567017,0.9998883008956908,0.12006842344999312,9.037343318880646,9.992802897705412,15.33631251312679
1-Androsterone,C[C@]12C=C[C@@H](O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,0.69,-4.598847697511415,0.1239895820617675,0.2618193030357361,0.7732689082622528,0.8448894917964935,0.6150572073324494,0.9991629123687744,0.7699082046747208,0.4197165668010712,0.4524555802345276,0.3287919759750366,0.8575067520141602,0.928354263305664,0.6642510890960693,0.3993450999259949,0.2847216725349426,0.5657944679260254,0.626237154006958,0.9889666438102722,0.9880671501159668,0.1935785710811615,0.9945539236068726,0.9782673120498656,0.8244335651397705,0.1060379948467016,0.1271784901618957,-3.905563985086406,3.3692342039644028,3.444481645880608,288.21,37.3,0,False,0.5498902218209373,0.9633840918540956,0.13190059922635555,0.99877268075943,0.999478280544281,0.6908174604177475,0.9345746040344238,0.9368534199893476,1.1235990783873673,1.047145229103546,41.094615847828045
1-Epiandrosterone,C[C@]12C=C[C@@H](O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,0.69,-4.598847697511415,0.1239895820617675,0.2618193030357361,0.7732689082622528,0.8448894917964935,0.6150572073324494,0.9991629123687744,0.7699082046747208,0.4197165668010712,0.4524555802345276,0.3287919759750366,0.8575067520141602,0.928354263305664,0.6642510890960693,0.3993450999259949,0.2847216725349426,0.5657944679260254,0.626237154006958,0.9889666438102722,0.9880671501159668,0.1935785710811615,0.9945539236068726,0.9782673120498656,0.8244335651397705,0.1060379948467016,0.1271784901618957,-3.905563985086406,3.3692342039644028,3.444481645880608,288.21,37.3,0,False,0.5498902218209373,0.9633840918540956,0.13190059922635555,0.99877268075943,0.999478280544281,0.6908174604177475,0.9345746040344238,0.9368534199893476,1.1235990783873673,1.047145229103546,41.094615847828045
1-Testosterone,C[C@]12C=CC(=O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12,0.737,-4.749493789520701,0.3308534622192383,0.8761217817664146,0.8277196735143661,0.9194341376423836,0.8701122224280824,0.9835928678512572,0.92154361307621,0.4057896733283996,0.1527744233608245,0.3744795620441437,0.9591686725616456,0.8720667362213135,0.5856945514678955,0.2112280577421188,0.1013406068086624,0.3967994153499603,0.6208938360214233,0.9949533343315125,0.9974910020828248,0.1947741359472274,0.9981104135513306,0.9914492964744568,0.5782102234661579,0.4905145149677992,0.4881400167942047,-4.158136172962776,3.644385117859376,3.646693524136759,288.21,37.3,0,False,0.480435859825876,0.6514676809310913,0.13527797162532806,0.6354994773864746,0.36233916878700256,0.7107052206993103,0.9490249156951904,0.14938073232769966,2.024871875071973,1.712664839263267,12.82696352812749
4-Androstenediol,C[C@]12CC[C@H]3[C@@H](CCC4=C[C@@H](O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,0.668,-4.538368799331443,0.1335620880126953,0.980774886906147,0.9699524343013765,0.9984549345681444,0.7312108752878379,0.9596006274223328,0.153082400560379,0.5028061866760254,0.151604875922203,0.4159020483493805,0.9579251408576964,0.9724136590957642,0.7764715552330017,0.1155536621809005,0.3172414004802704,0.4872671365737915,0.1495829820632934,0.9954635500907898,0.9986860156059264,0.2317967116832733,0.9990743398666382,0.9990456700325012,0.6331798154860735,0.2256680047139525,0.7190682291984558,-4.688721751623814,4.368444787179131,4.092963207999265,290.22,40.46,0,False,0.3916256891356574,0.5078536868095398,0.6429444551467896,0.9899019002914428,0.9565687775611876,0.9552636742591858,0.4022748616989702,0.22089488804340365,1.8327457625968704,1.7481008579888293,22.948087536008853
4-Hydroxytestosterone,C[C@]12CC[C@H]3[C@@H](CCC4=C(O)C(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,0.716,-4.512125010579856,0.2489078044891357,0.9709309469908476,0.9644778445363044,0.99849907157477,0.7619952472569334,0.7421067357063293,0.6079478189349174,0.2162553071975708,0.3071365356445312,0.2531159520149231,0.9451509714126588,0.8729931116104126,0.7467855215072632,0.1531689763069152,0.4391788542270661,0.539254367351532,0.3032937049865722,0.9977533221244812,0.9992648959159852,0.3245470821857452,0.999603807926178,0.99858558177948,0.2019204199314117,0.1283699064515531,0.8845033049583435,-4.305473783315736,3.1808286924666183,3.2589176291700075,304.2,57.53,0,False,0.4772258558207088,0.27569085359573364,0.25659334659576416,0.993450164794922,0.9973925352096558,0.9413300156593324,0.7597084045410156,0.895363911986351,1.7995167065228057,8.795819441008254,24.3053857834249
5-Androstenedione,C[C@]12CCC(=O)CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,0.629,-4.422627654696148,0.6021261215209961,0.2027273178100586,0.2241559028625488,0.6372731029987335,0.9087316655543076,0.9998512268066406,0.130541518330574,0.4812400639057159,0.3264882266521454,0.3992656767368316,0.8786972165107727,0.6876224279403687,0.5691105127334595,0.6571015119552612,0.5234524607658386,0.2770759165287018,0.8569247722625732,0.9770436882972716,0.9750922918319702,0.4626862406730652,0.9927237629890442,0.9601836800575256,0.5487916618585587,0.4946832358837128,0.2054885476827621,-3.478133555577368,2.6784509408684496,2.7923695273706475,286.19,34.14,0,False,0.5131842013862398,0.994751751422882,0.3514506679493934,0.9988409876823424,0.9999892711639404,0.1413151901215315,0.999866247177124,0.10945795476436616,5.30211085414493,9.5360395854174,87.4083632570342
7α-Hydroxy-DHEA,C[C@]12CC[C@H](O)CC1=C[C@@H](O)[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,0.677,-4.73651748865699,0.2952218055725097,0.4112743735313415,0.7864924073219299,0.985592808574438,0.6623460404496142,0.99755597114563,0.1295313388109207,0.3748492300510406,0.4062161147594452,0.6445625424385071,0.6940276026725769,0.6870829463005066,0.5721956491470337,0.3874972462654114,0.3856334686279297,0.5821311473846436,0.7978411316871643,0.8662460446357727,0.7829151153564453,0.7770392298698425,0.9595699906349182,0.8258215188980103,0.128333181142807,0.1895988173782825,0.4468648731708526,-3.5986751126364704,1.709566898802148,2.1216518159897846,304.2,57.53,0,False,0.5110706935326258,0.5702880620956421,0.8229529112577438,0.9995757937431335,0.9999288320541382,0.18482020124793053,0.5555357784032822,0.1796424202620983,1.5636978350117667,1.3886201095115442,35.77837055415981
7β-Hydroxy-DHEA,C[C@]12CC[C@H](O)CC1=C[C@@H](O)[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,0.677,-4.73651748865699,0.2952218055725097,0.4112743735313415,0.7864924073219299,0.985592808574438,0.6623460404496142,0.99755597114563,0.1295313388109207,0.3748492300510406,0.4062161147594452,0.6445625424385071,0.6940276026725769,0.6870829463005066,0.5721956491470337,0.3874972462654114,0.3856334686279297,0.5821311473846436,0.7978411316871643,0.8662460446357727,0.7829151153564453,0.7770392298698425,0.9595699906349182,0.8258215188980103,0.128333181142807,0.1895988173782825,0.4468648731708526,-3.5986751126364704,1.709566898802148,2.1216518159897846,304.2,57.53,0,False,0.5110706935326258,0.5702880620956421,0.8229529112577438,0.9995757937431335,0.9999288320541382,0.18482020124793053,0.5555357784032822,0.1796424202620983,1.5636978350117667,1.3886201095115442,35.77837055415981
